species,clonality,height,GF,lifespan,cotyledon,latitude,longitude,altitude,SR,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,aridity,NPP,bd,ph,soc,tn
Acacia_anomala,0,0.45,W,Perennial,Eudicot,-32,116.1,275,19.9325,16.5478333433469,10.5956664482752,47.3612824935533,446.989533351317,27.1760005950928,4.80399990081787,22.3720006942749,11.4853331247965,21.9253334999084,22.2593336105347,11.4853331247965,1043,209,12,82.8530267927036,571,52,63,571,0.7416,992.7,1.10000002384186,6.19999980926514,71.5999984741211,3
Acacia_anthochaera,0,7,W,Perennial,Eudicot,-29.57685,116.9168,332,20.4905,19.8434999585152,13.2663329442342,45.0662768512593,597.2396772142511,33.5999984741211,4.33200025558472,29.35400009155275,13.8653333981832,22.6606667836507,27.2586657206217,12.677333354949951,314,47.5,10,51.08095737947915,134,35,48,126,0.18205,233,1.20000004768372,6.69999980926514,13.5,0.699999988079071
Acacia_aphanoclada,0,6,W,Perennial,Eudicot,-21.9,120.1,390,22.4871666666667,25.5436666806539,14.72550018628435,47.5984320081096,569.9154550460034,39.9640007019043,9.16599988937378,30.8439998626709,31.1413332621257,22.941999912262,31.7639999389648,17.948333501815753,334,86,2,93.0363263529701,200,13,190,40,0.1558,34.3,1.39999997615814,7.59999990463257,10.6000003814697,0.600000023841858
Acacia_aphylla,0,2.3,W,Perennial,Eudicot,-32,116.15,275,19.9325,16.5478333433469,10.922833184401199,47.3612824935533,446.989533351317,27.3439998626709,4.80399990081787,22.863999843597398,11.4853331247965,21.9533335367839,22.2593336105347,11.4853331247965,976,196,12,82.8530267927036,536,49,60,536,0.7416,850,1.10000002384186,6.149999856948855,71.5999984741211,2.59999990463257
Acacia_applanata,1,0.4,W,Perennial,Eudicot,-33.144968315,116.25351309999999,205,19.4328333333333,15.925666660070451,10.9584999481837,49.721582661625945,422.110917517376,27.3959999084473,5.055999755859375,22.090000152587898,11.63699996471405,21.5413335164388,21.776666800181047,11.6199998855591,789,146.5,13,77.41385980249919,396.5,48.5,54,395.5,0.598,886.1,1.20000004768372,6.09999990463257,53.4000015258789,2.09999990463257
Acacia_aprepta,0,10,W,Perennial,Eudicot,-26.67006,149.1225,298.5,19.286250000000003,20.100083420674054,13.9800004164378,48.4014243726405,554.47208746307,33.9080009460449,5.085999965667725,28.964001178741448,26.0493335723877,12.8826666673025,26.295000235239648,12.8473334312439,572,80,25,43.8238692281716,218,86.5,216.5,86.5,0.3479,299.2,1.39999997615814,6.850000143051145,17.0500001907349,1.20000004768372
Acacia_aprica,0,2,W,Perennial,Eudicot,-29.8,116,297,20.0434166666667,19.4670001963774,13.8026669224103,46.9734110973005,569.519652645353,33.2159996032715,3.83200001716614,29.3839995861053,14.0106667280197,24.4000002543132,26.4953336715698,12.7033334970474,360,63,9,63.4665355536377,173,32,51,170,0.2374,395.4,1.20000004768372,5.80000019073486,10.1000003814697,0.600000023841858
Acacia_arafurica,0,4,W,Perennial,Eudicot,-12.08191116,133.3333,21,20.5179166666667,27.3183331489563,10.0753334363302,66.4424623953488,181.893231974683,34.3240013122559,18.9640007019043,15.1639976501465,28.2379995981852,24.8126662572225,29.1854162216187,24.8126662572225,1330,309,0,111.915549611304,862,5,529,5,0.7741,502.6,1.39999997615814,5.90000009536743,20.5,1.39999997615814
Acacia_araneosa,0,8,W,Perennial,Eudicot,-30.362222,139.34585,368,20.2038333333333,18.6191665728887,12.546332915624,42.943362118198,612.786641490864,32.492000579834,3.27600002288818,29.2160005569458,25.35733350118,10.9619997342428,26.1286665598551,10.9619997342428,212,31,11,34.5217239871294,80,37,77,37,0.1598,108.2,1.29999995231628,7.80000019073486,21.5,0.600000023841858
Acacia_arbiana,0,1.5,W,Perennial,Eudicot,-22.866667,148.2167,424,20.2525,21.8503333330154,12.5566664536794,51.2684413087601,419.167443611881,33.1679992675781,8.67599964141846,24.4919996261597,26.4333333969116,17.3519999186198,26.4333333969116,16.1519999504089,627,108,17,60.2544004667185,297,64,297,70,0.3775,369.2,1.29999995231628,6.30000019073486,27.2000007629395,1.60000002384186
