species,clonality
Adenanthos venosus,1
Agastachys odorata,0
Agathis atropurpurea,0
Agathis microstachya,0
Agathis robusta,0
Agrostocrinum scabrum,0
Ailanthus triphysa,0
Akania lucens,0
Alangium villosum,0
Alania endlicheri,0
Albizia canescens,0
Albizia procera,0
Alectryon connatus,0
Alectryon coriaceus,0
Alectryon forsythii,0
Alectryon kimberleyanus,0
Alectryon repandodentatus,0
Alectryon subcinereus,0
Alectryon subdentatus,0
Alectryon tomentosus,0
Alectryon unilobatus,0
Allocasuarina acuaria,0
Allocasuarina acutivalvis,0
Allocasuarina brachystachya,0
Allocasuarina campestris,0
Allocasuarina corniculata,0
Allocasuarina crassa,0
Allocasuarina decaisneana,0
Allocasuarina decussata,0
Allocasuarina defungens,1
Allocasuarina dielsiana,0
Allocasuarina diminuta,0
Allocasuarina distyla,0
Allocasuarina drummondiana,0
Allocasuarina emuina,0
Allocasuarina eriochlamys,0
Allocasuarina fibrosa,0
Allocasuarina filidens,0
Allocasuarina fraseriana,0
Allocasuarina glareicola,0
Allocasuarina globosa,0
Allocasuarina grampiana,0
Allocasuarina grevilleoides,1
Allocasuarina gymnanthera,0
Allocasuarina helmsii,0
Allocasuarina huegeliana,0
Allocasuarina humilis,0
Allocasuarina inophloia,0
Allocasuarina lehmanniana,0
Allocasuarina littoralis,0
Allocasuarina luehmannii,0
Allocasuarina mackliniana,0
Allocasuarina media,0
Allocasuarina microstachya,0
Allocasuarina misera,0
Allocasuarina monilifera,0
Allocasuarina muelleriana,0
Allocasuarina nana,0
Allocasuarina ophiolitica,0
Allocasuarina paludosa,0
Allocasuarina paradoxa,0
Allocasuarina pinaster,0
Allocasuarina portuensis,0
Allocasuarina pusilla,0
Allocasuarina ramosissima,0
Allocasuarina rigida,0
Allocasuarina robusta,0
Allocasuarina rupicola,0
Allocasuarina scleroclada,0
Allocasuarina simulans,0
Allocasuarina spinosissima,0
Allocasuarina striata,0
Allocasuarina tessellata,0
Allocasuarina thalassoscopica,0
Allocasuarina thuyoides,0
Allocasuarina tortiramula,0
Allocasuarina torulosa,0
Allocasuarina trichodon,0
Allocasuarina verticillata,0
Allocasuarina zephyrea,0
Allophylus cobbe,0
Alloxylon flammeum,0
Alloxylon pinnatum,0
Alloxylon wickhamii,0
Alpinia arctiflora,0
Alpinia arundelliana,0
Alpinia coerulea,0
Alpinia hylandii,0
Alpinia modesta,0
Alpinia racemigera,0
Ammannia baccifera,0
Ammannia multiflora,0
Ammannia pubiflora,0
Amomum dallachyi,0
Amomum queenslandicum,0
Amyema benthamii,0
Amyema bifurcatum,0
Amyema biniflorum,0
Amyema cambagei,0
Amyema congener,0
Amyema conspicuum,0
Amyema dolichopodum,0
Amyema fitzgeraldii,0
Amyema friesianum,0
Amyema gaudichaudii,0
Amyema gibberulum,0
Amyema glabrum,0
Amyema haematodes,0
Amyema herbertianum,0
Amyema hillianum,0
Amyema linophyllum,0
Amyema lucasii,0
Amyema mackayense,0
Amyema maidenii,0
Amyema melaleucae,0
Amyema microphyllum,0
Amyema miquelii,0
Amyema miraculosum,0
Amyema nestor,0
Amyema pendulum,0
Amyema preissii,0
Amyema quandang,0
Amyema quaternifolium,0
Amyema queenslandicum,0
Amyema sanguineum,0
Amyema seemenianum,0
Amyema subcapitatum,0
Amyema thalassium,0
Amyema tridactylum,0
Amyema villiflorum,0
Amyema whitei,0
Amylotheca dictyophleba,0
Amylotheca subumbellata,0
Anemone crassifolia,1
Anigozanthos bicolor,0
Anigozanthos flavidus,0
Anigozanthos gabrielae,0
Anigozanthos humilis,0
Anigozanthos kalbarriensis,0
Anigozanthos manglesii,0
Anigozanthos onycis,0
Anigozanthos preissii,0
Anigozanthos pulcherrimus,0
Anigozanthos rufus,0
Anigozanthos viridis,0
Anthobolus filifolius,0
Anthobolus foveolatus,0
Anthobolus leptomerioides,0
Anthotium humile,1
Anthotium junciforme,0
Anthotium rubriflorum,1
Apatophyllum constablei,0
Apatophyllum olsenii,0
Aphananthe philippinensis,0
Apodytes brachystylis,0
Araucaria bidwillii,0
Archidendron grandiflorum,0
Archidendron hendersonii,0
Archidendron hirsutum,0
Archidendron kanisii,0
Archidendron lovellae,0
Archidendron lucyi,0
Archidendron muellerianum,0
Archidendron ramiflorum,0
Archidendron vaillantii,0
Archidendron whitei,0
Archidendropsis basaltica,0
Archidendropsis thozetiana,0
Archidendropsis xanthoxylon,0
Aristolochia acuminata,0
Aristolochia chalmersii,0
Aristolochia holtzei,0
Aristolochia meridionalis,0
Aristolochia pubera,0
Aristolochia thozetii,0
Arnhemia cryptantha,0
Arnocrinum drummondii,0
Arnocrinum gracillimum,0
Arnocrinum preissii,0
Artabotrys carnosipetalus,0
Arthropodium curvipes,1
Arthropodium dyeri,1
Arthropodium milleflorum,1
Arthropodium minus,1
Artocarpus glaucus,0
Arytera bifoliolata,0
Arytera dictyoneura,0
Arytera distylis,0
Arytera divaricata,0
Arytera foveolata,0
Arytera lautereriana,0
Arytera macrobotrys,0
Arytera microphylla,0
Arytera pauciflora,0
